Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Stress_Level
2620,2.01,9.11,1.21,0.65,4.21,9.88,0.46,Moderate
2621,4.46,10.78,2.01,0.56,1.16,10.0,0.91,Moderate
2622,5.85,7.35,0.57,2.03,5.59,8.5,0.42,Moderate
2623,5.24,9.73,2.52,0.66,1.87,10.0,1.03,Low
2624,6.14,9.22,2.51,0.09,2.12,10.0,1.5,Low
2625,5.37,8.55,3.29,3.54,4.66,10.0,0.31,Low
2626,4.41,6.46,0.63,0.08,3.47,4.85,0.06,High
2627,3.56,8.71,0.93,0.53,3.5,10.0,0.19,Low
2628,5.74,7.4,2.17,0.03,0.5,8.9,2.07,Low
2629,7.3,7.39,1.06,0.48,2.94,8.83,0.19,Moderate
2630,7.38,6.28,0.8,0.94,4.74,3.98,0.87,Moderate
2631,7.34,8.11,0.0,2.39,2.18,9.62,0.03,Moderate
2632,7.07,8.43,0.07,2.34,3.9,10.0,0.19,Moderate
2633,5.29,9.24,1.21,0.0,3.16,9.38,2.27,Low
2634,3.2,8.42,4.34,0.27,5.66,10.0,0.03,Moderate
2635,2.34,8.05,5.01,0.14,3.29,9.13,2.09,Moderate
2636,4.19,8.81,1.31,2.05,3.27,9.62,0.62,Low
2637,5.72,9.68,1.68,2.08,0.69,8.37,0.49,Moderate
2638,9.69,6.6,1.29,0.02,3.0,10.0,0.62,High
2639,5.31,8.52,0.62,1.27,2.83,9.87,2.07,Low
2640,9.15,6.49,0.0,0.06,4.76,6.61,0.13,High
2641,5.58,7.47,0.73,2.01,2.88,9.21,0.02,Moderate
2642,2.1,9.85,1.04,0.62,3.1,10.0,0.32,Moderate
2643,6.91,7.4,1.43,0.42,2.5,9.32,0.19,Moderate
2644,2.83,9.34,2.32,0.41,3.8,10.0,0.37,Moderate
2645,9.21,7.21,0.43,0.98,6.0,10.0,0.02,High
2646,4.09,8.84,1.81,0.95,0.5,10.0,1.81,Moderate
2647,4.33,8.97,1.18,1.55,3.46,8.89,2.5,Low
2648,4.14,7.62,1.11,0.81,5.88,10.0,1.19,Low
2649,4.88,7.3,0.88,2.15,3.29,10.0,2.14,Moderate
2650,5.19,8.07,6.01,1.42,4.47,9.46,0.02,Low
2651,6.09,7.78,0.41,0.4,5.33,10.0,0.81,Moderate
2652,6.61,7.09,0.88,0.25,3.3,10.0,0.49,Moderate
2653,5.0,8.42,2.19,2.34,2.6,7.52,0.65,Low
2654,7.07,8.36,0.0,0.46,4.49,10.0,2.14,Moderate
2655,4.64,9.49,0.85,0.48,3.99,10.0,0.17,Low
2656,6.12,9.2,0.01,0.09,2.9,9.32,0.4,Moderate
2657,5.14,6.81,0.11,1.44,5.11,7.28,2.33,Moderate
2658,3.68,7.48,0.69,0.82,5.73,10.0,0.01,Moderate
2659,8.99,6.49,0.53,1.24,3.28,3.33,0.57,High
2660,6.55,7.71,2.6,0.04,3.94,8.09,0.65,Low
2661,4.45,8.13,1.12,0.34,4.62,10.0,2.23,Moderate
2662,5.12,7.58,0.81,0.23,3.2,10.0,0.18,Moderate
2663,5.8,7.59,1.84,1.06,5.5,9.71,0.69,High
2664,7.9,7.64,4.5,0.18,1.62,10.0,0.02,High
2665,0.08,8.57,1.22,0.6,4.56,8.74,2.76,Low
2666,7.02,9.81,1.08,0.5,3.67,8.34,2.29,Moderate
2667,4.05,8.53,0.3,0.0,2.19,9.04,0.38,Moderate
2668,8.95,7.84,3.28,0.5,4.13,10.0,0.13,Moderate
2669,2.81,8.36,1.64,0.58,4.44,8.65,2.68,Low
2670,4.0,9.1,0.55,0.82,5.55,10.0,0.05,Low
2671,3.66,8.75,1.09,0.14,4.71,9.1,0.59,Moderate
2672,3.39,9.59,1.52,1.06,3.27,10.0,0.3,Moderate
2673,3.48,8.51,0.98,2.39,4.27,10.0,0.2,Moderate
2674,5.29,9.62,1.94,0.1,3.43,9.63,0.04,Moderate
2675,7.55,5.79,2.18,2.78,7.03,5.78,0.06,High
2676,5.73,8.87,0.0,0.5,3.35,7.38,0.19,Moderate
2677,6.18,7.88,0.83,0.57,3.3,8.69,0.05,High
2678,3.93,7.53,2.69,1.01,3.91,9.11,1.76,Moderate
2679,4.66,10.25,2.41,1.01,3.22,10.0,0.4,Low
2680,7.78,9.05,1.38,0.61,0.93,8.18,0.47,Low
2681,3.51,6.62,3.35,0.58,4.1,9.51,1.17,Moderate
2682,3.86,8.75,1.01,0.15,2.22,10.0,0.37,Low
2683,7.59,7.98,3.66,1.19,1.79,10.0,0.06,Moderate
2684,6.14,8.22,0.03,0.37,4.58,9.88,1.32,Low
2685,7.97,8.65,0.09,0.23,2.79,9.15,1.77,Moderate
2686,2.71,10.29,0.52,0.11,2.3,8.98,0.46,Moderate
2687,6.31,7.98,1.27,1.13,3.2,10.0,0.39,Low
2688,2.34,11.0,2.88,0.38,2.85,8.31,0.11,Low
2689,8.9,7.75,0.43,1.27,2.96,7.12,0.25,Moderate
2690,4.88,7.86,0.66,1.12,1.57,10.0,2.47,Low
2691,4.09,7.94,0.72,1.27,2.36,10.0,0.43,Moderate
2692,4.86,9.47,1.97,1.4,1.04,8.6,0.29,Low
2693,5.13,7.34,1.12,0.75,2.63,10.0,0.09,Moderate
2694,4.89,7.81,6.39,0.17,2.77,10.0,0.35,Low
2695,2.7,8.74,2.14,0.55,2.48,7.89,0.42,Moderate
2696,8.48,7.31,1.7,0.99,4.3,8.96,1.45,Moderate
2697,5.11,7.94,0.17,0.25,6.5,9.01,0.96,Moderate
2698,8.35,5.69,6.73,0.21,5.08,5.03,2.82,High
2699,4.09,9.65,1.01,0.07,2.47,9.49,0.15,Moderate
2700,5.33,7.66,8.0,1.68,4.12,10.0,0.79,Moderate
2701,5.82,9.91,0.76,0.01,2.68,10.0,0.64,Moderate
2702,4.21,8.76,3.46,0.32,2.73,7.88,0.0,Moderate
2703,6.22,9.01,0.0,0.08,5.03,8.29,0.04,Moderate
2704,6.3,8.35,0.85,0.74,6.3,10.0,0.87,Moderate
2705,6.57,8.94,0.45,0.81,0.78,9.38,2.68,Low
2706,5.19,8.68,0.55,0.29,5.59,9.7,0.62,Moderate
2707,8.04,7.35,0.34,0.03,2.37,10.0,2.78,High
2708,9.57,7.67,0.1,1.07,2.35,10.0,0.14,High
2709,7.04,9.95,1.39,0.1,2.89,8.51,0.49,Low
2710,5.65,7.68,0.43,0.76,6.04,7.3,0.06,Moderate
2711,6.51,8.44,0.79,0.05,3.62,9.86,3.03,Moderate
2712,7.06,7.45,0.15,0.58,4.07,8.96,1.92,Moderate
2713,10.22,6.85,0.0,2.3,4.18,9.39,1.4,High
2714,8.68,6.93,2.42,0.44,4.78,9.66,0.57,Moderate
2715,2.87,6.76,0.39,0.42,5.54,8.17,0.88,Moderate
2716,8.43,6.77,4.38,0.42,4.91,10.0,0.19,High
2717,1.29,10.47,1.44,1.25,2.79,8.66,0.04,Moderate
2718,4.23,7.68,1.11,0.05,1.47,9.05,0.4,Moderate
2719,6.88,8.44,4.95,0.89,5.84,10.0,0.24,Low
2720,4.17,8.65,1.49,0.15,2.14,10.0,0.05,Low
2721,8.89,6.62,4.85,3.74,2.53,8.96,0.1,High
2722,7.08,8.35,0.86,0.06,2.59,10.0,0.58,Moderate
2723,2.34,9.79,0.56,1.51,2.94,7.31,0.07,Moderate
2724,5.33,8.48,0.89,1.19,2.39,8.19,0.45,Moderate
2725,8.49,7.97,0.78,0.26,3.59,7.88,0.61,High
2726,3.99,8.73,4.77,0.58,4.42,9.69,0.39,Low
2727,4.77,6.61,3.37,0.6,5.29,10.0,0.15,Moderate
2728,8.25,6.66,0.0,0.53,4.31,9.45,0.12,High
2729,2.48,7.25,1.74,1.3,4.05,9.76,0.12,Low
2730,2.95,9.55,4.28,0.27,3.01,9.92,0.06,Moderate
2731,8.47,7.86,2.59,0.63,4.62,9.37,0.26,High
2732,8.38,7.93,0.0,0.75,2.15,10.0,0.21,Moderate
2733,3.44,9.21,2.61,0.37,2.84,9.3,0.21,Low
2734,10.27,7.3,4.37,1.88,4.11,8.8,1.08,High
2735,7.71,5.65,2.1,1.79,3.98,4.33,0.05,High
2736,5.83,7.78,4.17,1.55,2.87,10.0,2.4,Low
2737,7.48,5.89,2.93,0.28,3.23,6.41,1.72,High
2738,6.93,7.14,1.21,0.0,5.3,8.54,0.6,Low
2739,3.46,10.33,1.22,1.94,4.08,8.96,0.48,Moderate
2740,4.79,9.34,0.67,0.34,3.62,10.0,1.05,Low
2741,10.56,6.89,0.0,0.02,1.05,10.0,0.79,High
2742,5.38,7.86,0.46,0.38,4.07,10.0,2.07,Low
2743,8.1,6.1,2.93,0.91,3.42,3.9,0.74,High
2744,7.39,7.53,0.5,1.82,1.97,8.85,1.8,Low
2745,1.96,10.35,3.44,0.57,2.67,10.0,0.75,Moderate
2746,7.07,7.86,2.66,0.12,4.33,9.61,0.37,Moderate
2747,8.51,5.36,0.99,0.15,5.79,3.32,1.9,High
2748,8.96,6.89,3.25,1.08,1.62,10.0,0.17,High
2749,6.5,5.74,0.95,2.17,2.88,5.37,0.25,Moderate
2750,8.22,7.85,2.28,0.47,4.05,8.42,0.01,Low
2751,8.05,6.42,4.7,0.1,3.01,3.27,0.48,High
2752,5.4,6.81,1.67,0.5,4.95,7.34,0.07,Moderate
2753,7.3,8.19,0.99,1.57,2.47,9.22,1.44,Moderate
2754,7.93,7.71,6.05,0.21,4.0,10.0,0.26,Moderate
2755,7.68,7.47,4.94,0.47,1.23,10.0,0.01,Moderate
2756,5.08,10.34,8.0,0.06,3.62,10.0,0.71,Low
2757,3.85,9.21,1.5,0.12,0.5,8.08,1.31,Moderate
2758,3.16,8.17,2.24,0.06,5.53,9.1,0.33,Moderate
2759,4.17,8.99,4.77,1.46,3.51,10.0,0.61,Moderate
2760,1.57,9.09,0.84,0.84,4.83,8.17,1.58,Low
2761,3.88,9.83,1.88,0.49,3.65,10.0,0.05,Moderate
2762,4.11,8.77,2.51,2.16,1.11,10.0,0.03,Moderate
2763,9.79,6.88,1.14,2.69,5.05,10.0,0.16,High
2764,6.5,6.21,1.25,0.05,4.59,5.52,1.53,High
2765,7.26,7.44,3.41,0.11,4.54,10.0,0.87,Moderate
2766,3.55,8.63,0.66,0.08,2.66,7.79,0.19,Moderate
2767,4.01,7.5,0.88,0.93,4.56,10.0,0.2,Moderate
2768,5.03,7.94,3.56,3.47,1.8,7.72,0.12,Low
2769,4.61,8.75,0.91,1.64,3.77,10.0,1.16,Moderate
2770,3.45,8.71,4.0,1.98,2.44,9.48,2.3,Low
2771,5.67,6.53,0.0,0.3,11.68,9.22,0.97,High
2772,4.42,8.1,1.29,2.24,4.76,8.61,0.76,Low
2773,2.79,8.48,0.93,2.26,6.11,9.97,0.11,Moderate
2774,8.47,7.15,0.2,0.45,2.85,10.0,2.12,Low
2775,5.37,8.13,5.21,2.22,4.2,9.81,0.13,Moderate
2776,5.36,7.64,0.85,0.35,5.16,9.59,1.68,Low
2777,4.16,8.02,0.4,0.11,2.34,10.0,0.47,Moderate
2778,5.52,8.06,3.41,0.88,2.59,9.45,2.35,Moderate
2779,7.88,8.13,3.85,0.42,4.44,9.85,0.1,Moderate
2780,8.55,7.21,0.63,2.13,2.85,9.55,0.62,High
2781,8.85,8.25,0.12,0.06,1.57,10.0,0.16,High
2782,7.32,8.5,0.0,1.3,2.03,8.96,2.64,Low
2783,4.74,9.76,3.4,0.95,1.28,10.0,0.24,Moderate
2784,4.09,9.86,2.63,0.09,0.5,7.67,0.52,Moderate
2785,7.2,8.97,1.45,0.57,0.5,8.83,0.13,Moderate
2786,4.07,7.35,1.82,2.84,4.31,9.33,0.04,Moderate
2787,7.85,7.82,3.11,2.25,4.11,9.75,0.08,Moderate
2788,3.73,9.84,0.65,0.15,7.11,9.29,0.8,Moderate
2789,2.98,10.28,1.66,0.96,3.28,9.26,2.74,Low
2790,4.25,7.67,2.84,0.43,2.15,8.92,2.05,Low
2791,4.13,9.14,1.12,0.26,3.47,10.0,0.21,Moderate
2792,8.81,6.92,3.09,0.21,4.28,8.53,0.0,High
2793,8.4,8.83,0.83,1.72,4.11,10.0,2.43,Moderate
2794,4.98,6.8,1.56,2.0,5.64,10.0,1.95,Moderate
2795,5.2,7.34,1.95,0.01,4.83,8.78,0.36,Moderate
2796,3.81,6.78,4.11,3.33,4.68,9.2,0.72,Low
2797,3.63,8.8,0.41,1.88,4.88,9.59,0.12,Low
2798,6.04,10.08,3.65,0.62,0.88,10.0,0.29,Moderate
2799,1.99,9.19,0.55,0.79,1.02,8.54,1.34,Low
2800,2.79,9.05,3.18,0.29,7.02,10.0,2.45,Moderate
2801,4.13,9.03,0.35,0.3,3.49,10.0,0.59,Low
2802,6.53,7.52,4.44,2.49,4.36,10.0,0.42,Low
2803,9.3,7.04,2.58,1.87,0.5,10.0,2.55,Moderate
2804,5.12,8.52,0.94,0.03,5.83,7.84,1.68,Moderate
2805,5.7,7.08,3.4,0.17,5.67,10.0,0.2,High
2806,7.38,7.25,0.62,1.34,1.11,8.37,0.57,Moderate
2807,6.22,8.49,4.35,0.03,2.77,10.0,0.37,Low
2808,5.6,8.89,5.07,0.15,3.64,9.25,0.48,Moderate
2809,9.25,7.98,0.28,0.03,0.8,8.66,0.14,Moderate
2810,8.88,7.15,0.22,3.09,3.85,10.0,0.44,High
2811,7.32,7.72,1.34,0.0,4.85,9.85,0.13,High
2812,4.54,9.09,0.34,0.54,3.92,7.97,0.15,Moderate
2813,4.35,7.81,5.68,0.26,1.64,10.0,0.13,Low
2814,6.79,6.91,2.62,1.06,2.18,8.53,1.73,Moderate
2815,9.61,6.44,2.39,0.6,3.04,6.15,0.83,High
2816,3.63,7.38,2.87,1.86,3.97,9.57,1.09,Moderate
2817,9.92,6.86,0.0,0.66,2.63,7.89,0.0,High
2818,3.36,9.8,3.38,2.1,3.04,10.0,0.08,Low
2819,4.0,7.81,2.28,1.54,1.37,10.0,0.63,Moderate
2820,1.67,9.78,5.99,1.62,5.08,6.29,0.0,Low
2821,9.48,5.98,1.46,0.67,4.38,4.48,2.02,High
2822,6.04,6.8,0.51,0.22,4.76,10.0,0.94,Moderate
2823,8.16,9.12,2.66,0.48,3.15,10.0,0.24,Moderate
2824,4.37,7.39,1.78,1.15,3.72,9.55,0.02,Low
2825,4.87,6.94,1.64,0.49,3.3,10.0,2.18,Moderate
2826,3.26,9.0,0.9,1.71,2.26,10.0,1.35,Low
2827,6.94,7.77,4.84,0.24,5.67,10.0,0.32,Moderate
2828,11.13,6.7,0.12,1.63,2.71,8.64,0.38,High
2829,4.75,10.26,0.25,2.52,0.5,10.0,0.76,Moderate
2830,8.39,6.21,0.02,1.35,3.57,4.1,0.81,High
2831,7.14,6.85,0.07,1.75,0.55,8.75,0.31,Moderate
2832,2.62,10.62,0.53,0.23,3.67,7.9,0.19,Moderate
2833,3.44,9.66,0.53,0.34,3.69,9.41,0.28,Moderate
2834,4.17,9.27,0.89,0.24,2.64,8.7,0.25,Moderate
2835,7.97,6.55,0.0,1.94,2.18,9.7,0.53,High
2836,4.08,9.62,1.26,0.56,4.17,10.0,0.02,Low
2837,3.21,9.6,5.94,0.35,3.43,9.21,0.62,Low
2838,10.46,6.45,2.17,0.24,0.5,4.38,1.24,High
2839,6.21,7.17,2.54,0.07,5.59,9.72,0.16,Moderate
2840,8.34,7.11,0.0,0.02,1.86,10.0,1.91,High
2841,3.77,10.25,1.46,0.46,1.18,10.0,1.86,Low
2842,1.69,8.24,2.58,0.06,6.52,8.28,1.16,Moderate
2843,2.81,8.14,1.92,1.2,5.83,10.0,0.17,Moderate
2844,9.32,6.03,1.26,0.04,2.82,7.11,0.23,High
2845,5.4,7.62,1.61,0.83,1.92,8.55,0.39,Moderate
2846,4.6,8.3,2.47,0.34,2.37,10.0,0.79,Moderate
2847,10.93,7.06,4.94,1.69,1.99,6.93,0.22,High
2848,8.17,7.53,0.28,1.11,4.97,9.9,0.24,High
2849,4.45,8.43,0.79,1.99,5.66,9.62,1.39,Moderate
2850,4.47,8.64,0.6,0.6,3.88,7.75,0.86,Low
2851,3.63,9.28,0.86,1.49,4.56,10.0,0.12,Low
2852,4.07,6.82,1.1,0.04,4.14,9.88,0.18,Moderate
2853,2.27,10.2,2.64,0.17,2.24,7.99,0.61,Moderate
2854,7.07,6.62,1.03,0.57,1.53,10.0,0.01,Moderate
2855,1.92,8.81,4.78,0.7,4.68,10.0,0.27,Moderate
2856,6.13,8.12,0.55,0.75,4.77,7.87,3.33,Moderate
2857,2.16,9.09,3.14,0.0,3.26,5.28,0.26,Moderate
2858,7.42,7.81,1.41,1.75,5.0,9.91,0.16,High
2859,3.4,8.88,0.63,1.61,3.22,8.6,2.37,Moderate
2860,7.11,7.15,2.15,0.34,3.69,10.0,0.51,Moderate
2861,3.95,10.07,1.79,3.28,2.85,9.23,0.45,Low
2862,2.15,9.88,3.23,0.2,5.56,9.43,3.43,Moderate
2863,9.35,6.95,2.87,0.51,3.82,9.37,0.27,High
2864,5.43,8.72,0.56,0.5,3.27,8.09,1.17,Moderate
2865,3.14,8.12,2.83,0.75,4.28,9.47,1.42,Low
2866,4.8,10.42,1.26,3.35,1.05,8.26,2.05,Low
2867,3.14,7.74,0.41,0.05,0.97,7.79,0.41,Moderate
2868,4.32,8.53,0.27,1.84,2.91,8.45,0.95,Low
2869,4.66,8.01,3.15,1.0,3.54,8.41,0.03,High
2870,6.55,7.31,2.77,0.19,4.44,9.75,0.23,Moderate
2871,1.77,8.85,0.73,0.04,3.97,8.41,0.64,Low
2872,3.63,7.88,1.76,0.85,3.44,9.93,0.33,Moderate
2873,8.78,8.04,0.89,1.05,0.5,7.85,2.52,Moderate
2874,5.45,6.81,4.87,0.05,4.9,9.64,0.31,Moderate
2875,8.48,7.94,1.82,1.43,3.22,9.23,1.13,Moderate
2876,8.97,7.44,3.87,0.16,4.2,9.94,0.29,High
2877,8.08,6.72,2.83,0.09,3.53,10.0,0.09,High
2878,6.61,8.14,0.69,0.32,5.01,10.0,1.31,Moderate
2879,2.79,8.79,1.0,0.6,3.16,8.12,0.12,Moderate
2880,7.69,6.13,0.0,1.49,3.76,4.96,0.48,High
2881,5.6,6.88,1.54,0.51,4.41,9.34,0.03,Moderate
2882,8.7,7.54,0.0,1.0,4.0,10.0,0.03,High
2883,3.4,9.34,6.06,0.25,4.24,9.65,1.02,Moderate
2884,7.63,7.5,2.53,2.93,4.01,10.0,1.74,Low
2885,4.49,7.96,1.81,0.66,4.3,8.26,1.18,Moderate
2886,10.63,6.02,0.0,0.97,2.85,3.44,0.24,High
2887,8.44,6.64,3.75,2.18,4.78,10.0,0.42,Moderate
2888,5.19,6.36,3.51,0.19,1.85,4.82,0.5,Moderate
2889,6.33,7.77,0.0,2.02,2.57,9.89,1.61,Moderate
2890,8.87,7.34,2.19,2.9,5.43,7.62,0.09,High
2891,8.41,7.05,0.29,1.33,2.27,8.84,0.1,Moderate
2892,6.24,9.51,4.39,1.09,2.72,9.67,0.3,Low
2893,4.19,7.45,0.33,0.24,6.25,10.0,0.09,Moderate
2894,7.52,6.63,0.25,2.82,3.48,7.68,1.28,High
2895,6.71,7.71,6.64,0.29,2.19,8.74,0.46,Low
2896,8.36,7.24,0.46,0.35,5.01,7.55,0.02,High
2897,5.58,6.07,0.7,2.48,3.94,5.35,0.06,High
2898,12.33,6.21,0.0,0.01,2.3,4.73,0.88,High
2899,4.5,8.6,2.18,0.42,0.66,10.0,2.78,Low
2900,5.51,5.88,0.17,0.62,4.28,5.64,0.32,High
2901,6.17,7.65,1.86,0.32,4.62,8.76,0.49,Moderate
2902,5.84,7.07,0.84,0.27,3.26,10.0,1.46,Moderate
2903,8.22,6.6,0.71,2.07,1.59,8.93,1.64,Moderate
2904,8.23,5.71,0.53,0.36,3.14,4.92,0.28,High
2905,3.95,8.96,1.37,0.48,2.71,10.0,0.27,Moderate
2906,2.09,10.96,3.12,1.86,2.92,8.68,0.05,Low
2907,2.38,9.36,1.89,0.41,3.09,10.0,0.32,Moderate
2908,8.17,4.91,4.99,0.37,6.69,4.66,0.34,High
2909,4.39,8.68,4.73,3.28,4.09,10.0,2.7,Low
2910,4.74,8.07,4.8,1.65,1.18,10.0,3.52,Moderate
2911,3.69,7.53,7.01,0.34,4.37,10.0,3.16,Moderate
2912,7.82,7.54,0.0,0.23,3.17,9.01,0.08,High
2913,3.32,9.64,3.94,1.15,5.3,8.92,2.38,Low
2914,5.21,7.43,0.33,0.84,3.69,10.0,0.79,Moderate
2915,4.35,6.76,0.85,0.03,4.13,10.0,1.56,High
2916,10.26,4.32,0.0,2.26,6.7,4.25,0.29,High
2917,6.7,6.91,0.55,0.15,2.16,8.17,2.13,Moderate
2918,3.86,8.42,0.58,0.95,5.06,8.51,1.91,Low
2919,7.15,6.91,2.74,1.86,3.75,10.0,0.17,Moderate
2920,2.18,8.48,4.47,0.05,3.51,9.76,1.74,Low
2921,9.04,7.33,3.77,0.25,2.04,10.0,0.75,High
2922,9.34,7.12,1.16,0.77,5.05,7.16,2.97,High
2923,9.96,6.64,1.67,0.08,3.75,10.0,2.46,High
2924,3.49,9.52,2.56,2.69,4.42,10.0,0.38,Low
2925,6.43,7.02,1.85,0.3,5.12,7.13,0.3,High
2926,3.28,7.68,0.75,1.43,4.82,9.47,0.15,Moderate
2927,2.53,8.52,2.97,0.6,2.57,10.0,0.11,Moderate
2928,3.62,8.07,0.32,0.16,1.71,7.89,0.92,Low
2929,6.49,5.6,4.55,0.76,6.65,4.4,2.09,High
2930,5.76,7.36,0.05,1.41,4.13,10.0,0.63,Moderate
2931,3.04,9.96,4.31,0.74,3.57,8.78,2.21,Moderate
2932,9.21,7.5,3.4,2.56,5.6,9.2,2.48,Moderate
2933,5.62,8.48,4.26,2.51,1.8,10.0,2.75,Low
2934,3.64,8.78,4.38,2.43,0.5,8.19,0.53,Low
2935,4.62,9.76,1.69,0.91,0.5,8.54,0.51,Moderate
2936,5.1,7.08,0.13,0.13,3.3,10.0,0.56,Low
2937,4.37,7.43,6.61,0.12,4.31,10.0,0.37,Low
2938,9.47,7.73,0.0,0.01,4.83,10.0,0.57,Moderate
2939,6.95,7.52,1.49,0.31,4.72,10.0,3.14,Moderate
2940,9.2,6.03,2.53,0.86,0.5,5.14,0.41,High
2941,2.8,9.5,1.6,2.48,7.9,10.0,0.51,Moderate
2942,8.53,6.5,0.31,0.51,2.85,9.87,1.85,High
2943,4.33,7.57,0.71,1.51,5.93,10.0,0.18,Low
2944,8.73,6.0,0.66,0.78,4.43,5.24,0.6,High
2945,10.88,6.44,0.0,2.58,2.91,3.29,2.0,High
2946,4.91,8.41,6.49,0.03,3.25,8.94,0.73,Moderate
2947,8.49,8.47,0.0,1.45,1.02,8.72,1.67,Moderate
2948,1.74,9.02,0.92,0.44,2.22,8.2,0.17,Moderate
2949,4.09,8.18,1.8,1.84,3.65,10.0,2.48,Low
2950,6.97,8.93,1.44,0.1,0.81,10.0,1.67,Moderate
2951,7.85,8.16,2.96,0.15,5.44,9.52,0.57,High
2952,1.69,9.48,4.88,0.14,4.13,8.34,0.18,High
2953,11.68,4.27,0.0,0.05,6.71,2.0,3.79,High
2954,3.38,7.93,2.84,0.5,3.53,8.32,0.36,Moderate
2955,5.54,6.93,1.53,0.28,3.16,8.98,0.82,Moderate
2956,10.29,6.36,0.97,0.29,3.97,3.76,1.16,High
2957,6.72,7.06,0.57,0.37,3.31,9.31,0.78,Low
2958,6.53,9.24,1.86,0.1,4.33,10.0,0.06,Moderate
2959,10.38,4.72,0.0,0.48,5.87,5.18,0.14,High
2960,3.65,7.49,0.63,0.18,5.94,8.72,3.04,Moderate
2961,4.16,8.71,0.87,0.41,5.72,10.0,0.58,Moderate
2962,2.74,9.49,1.03,0.18,4.95,9.71,0.34,Moderate
2963,4.92,5.62,4.92,0.8,3.9,5.94,0.02,High
2964,4.76,6.52,0.59,2.9,6.11,9.32,0.71,High
2965,7.37,7.08,0.0,0.02,4.57,10.0,0.4,Moderate
2966,5.99,9.18,0.29,2.25,2.1,10.0,0.52,Low
2967,9.99,8.32,0.2,0.1,1.64,10.0,0.01,High
2968,9.37,6.23,2.41,0.52,3.23,5.37,1.37,High
2969,5.65,7.78,0.65,0.22,5.34,10.0,0.01,Moderate
2970,6.25,6.9,0.56,1.95,4.05,9.36,1.6,Moderate
2971,6.25,8.37,0.0,0.01,3.28,10.0,0.04,Moderate
2972,4.06,10.03,1.5,2.67,2.93,8.17,3.06,Low
2973,10.37,7.55,0.58,0.06,2.06,8.56,0.67,High
2974,4.68,8.26,0.85,0.33,1.98,10.0,0.02,Moderate
2975,5.26,7.24,0.67,0.29,5.18,8.54,0.42,High
2976,5.11,8.15,3.6,0.83,2.14,8.79,0.27,Moderate
2977,6.36,9.08,1.28,0.66,3.08,8.89,0.06,Moderate
2978,5.58,7.57,0.82,0.14,3.16,10.0,0.19,Moderate
2979,3.84,6.77,0.32,0.11,5.68,9.45,0.29,Moderate
2980,3.54,8.33,0.56,0.09,3.47,10.0,0.04,Moderate
2981,4.43,8.1,2.9,2.05,2.35,10.0,0.57,Moderate
2982,6.85,5.71,1.35,0.4,5.69,5.32,0.5,High
2983,6.94,7.73,2.65,1.22,2.13,9.38,0.14,Moderate
2984,1.31,9.97,2.52,0.3,4.12,9.09,0.56,Moderate
2985,7.96,9.0,0.07,0.66,4.52,8.82,1.02,Moderate
2986,6.66,6.26,8.0,0.24,2.94,4.92,0.44,Moderate
2987,8.43,7.71,0.04,0.23,2.86,10.0,0.18,High
2988,7.36,8.32,2.35,0.9,2.39,9.72,2.2,Low
2989,7.32,7.88,0.34,0.6,3.41,10.0,0.13,Moderate
2990,4.43,7.37,2.76,0.23,4.04,9.59,0.24,Moderate
2991,2.25,8.07,3.05,0.52,5.79,8.6,2.02,Low
2992,4.51,8.44,2.37,1.04,2.76,10.0,0.72,Low
2993,8.21,7.14,8.0,0.59,5.2,8.33,0.47,Moderate
2994,6.84,6.97,0.53,2.25,6.11,9.79,1.99,Low
2995,4.91,9.5,0.15,0.39,3.56,8.24,1.84,Low
2996,2.78,8.55,1.11,0.02,2.9,10.0,0.41,Moderate
2997,3.06,6.96,1.36,0.78,4.59,10.0,0.12,High
2998,7.88,6.94,0.5,2.67,3.27,8.98,0.25,Moderate
2999,6.42,8.16,4.47,0.34,5.99,7.77,0.32,Low
3000,7.28,7.72,5.15,0.75,3.14,10.0,0.64,Moderate
3001,4.79,8.58,1.72,0.08,5.64,9.8,0.07,Moderate
3002,4.05,10.0,4.44,0.13,3.35,10.0,0.13,Moderate
3003,9.78,5.39,0.98,0.04,3.67,6.14,0.0,High
3004,3.03,8.44,3.85,0.51,3.53,10.0,0.46,Moderate
3005,10.78,7.7,0.0,0.37,2.03,8.45,0.26,High
3006,5.19,6.14,3.6,0.22,5.78,4.6,0.11,High
3007,3.21,8.75,1.82,0.59,2.8,9.82,0.34,Low
3008,7.58,8.5,8.0,0.14,4.34,10.0,1.48,Moderate
3009,6.42,8.89,0.3,1.14,5.2,9.15,0.25,Moderate
3010,6.63,8.27,3.15,0.09,2.35,8.36,3.44,Moderate
3011,9.43,7.31,1.71,0.22,4.73,10.0,0.78,High
3012,4.67,7.25,1.77,2.34,5.7,9.87,1.68,Moderate
3013,4.1,9.86,0.75,1.91,4.53,10.0,0.74,Moderate
3014,3.6,7.46,3.34,0.02,3.36,8.55,0.49,Moderate
3015,7.6,6.12,0.06,0.26,3.67,6.58,0.06,High
3016,3.67,9.03,0.48,0.55,3.49,10.0,0.26,Moderate
3017,4.35,7.91,0.79,0.01,7.08,9.84,0.11,Moderate
